Position,Column Label,Answer Type,Important Text,Question Text,Group Text,Sub Question Text,Answer Text,Question ID,Group #,Sub Question #,Answer #,Report As,Answer Values...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Q260_STRAIGHTLINER,Single-Punch-Item,Respondent straightlined in Q260,Respondent straightlined in Q260,,,,Q260_STRAIGHTLINER,1,1,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Q305_A,Multi-Punch-Item,"Being a welcoming, accepting place","We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,"Being a welcoming, accepting place",Q305,1,1,A,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Q305_B,Multi-Punch-Item,Having a strong sense of community,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,Having a strong sense of community,Q305,1,1,B,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Q305_C,Multi-Punch-Item,Lots of jobs/economic opportunity,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,Lots of jobs/economic opportunity,Q305,1,1,C,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Q305_D,Multi-Punch-Item,High quality of education in kindergarten to high school,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,High quality of education in kindergarten to high school,Q305,1,1,D,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Q305_E,Multi-Punch-Item,High-quality colleges and universities,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,High-quality colleges and universities,Q305,1,1,E,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Q305_F,Multi-Punch-Item,"Having good outdoor recreation, parks, and green spaces","We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,"Having good outdoor recreation, parks, and green spaces",Q305,1,1,F,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Q305_G,Multi-Punch-Item,Safe neighborhoods/low crime,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,Safe neighborhoods/low crime,Q305,1,1,G,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Q305_H,Multi-Punch-Item,"Good restaurants, shopping, and entertainment","We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,"Good restaurants, shopping, and entertainment",Q305,1,1,H,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Q305_I,Multi-Punch-Item,Good and affordable housing options,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,Good and affordable housing options,Q305,1,1,I,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Q305_J,Multi-Punch-Item,Rich diversity of people and cultures,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,Rich diversity of people and cultures,Q305,1,1,J,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Q305_K,Multi-Punch-Item,High quality healthcare and hospitals,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,High quality healthcare and hospitals,Q305,1,1,K,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Q305_L,Multi-Punch-Item,Easy to get around:  good public transportation and no traffic congestion,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,Easy to get around:  good public transportation and no traffic congestion,Q305,1,1,L,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Q305_M,Multi-Punch-Item,Taking care of the homeless and less fortunate,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,Taking care of the homeless and less fortunate,Q305,1,1,M,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Q305_N,Multi-Punch-Item,"Being a creative gathering place for music, artists, and talent of all kinds","We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,"Being a creative gathering place for music, artists, and talent of all kinds",Q305,1,1,N,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Q305_O,Multi-Punch-Item,"Enjoying a vibrant downtown, Music City venues, special events and activities","We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,"Enjoying a vibrant downtown, Music City venues, special events and activities",Q305,1,1,O,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Q305_P,Multi-Punch-Item,People are so collaborative and supportive,"We are going to start by thinking about what makes Nashville so special.  Thinking specifically about where you live, what makes this such a great place?  What do you personally enjoy most about living and working here?    To help you, people in the Nashv",,,People are so collaborative and supportive,Q305,1,1,P,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Q308,Single-Punch-Item,"Out of the three things you selected, which is most important to you personally?","Out of the three things you selected, which is most important to you personally?",,,,Q308,1,1,,,"1 = Being a welcoming, accepting place",2 = Having a strong sense of community,3 = Lots of jobs/economic opportunity,4 = High quality of education in kindergarten to high school,5 = High-quality colleges and universities,"6 = Having good outdoor recreation, parks, and green spaces",7 = Safe neighborhoods/low crime,"8 = Good restaurants, shopping, and entertainment",9 = Good and affordable housing options,10 = Rich diversity of people and cultures,11 = High quality healthcare and hospitals,12 = Easy to get around:  good public transportation and no traffic congestion,13 = Taking care of the homeless and less fortunate,"14 = Being a creative gathering place for music, artists, and talent of all kinds","15 = Enjoying a vibrant downtown, Music City venues, special events and activities",16 = People are so collaborative and supportive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Q310,Single-Punch-Item,"Now, please tell us why that is so important to you. What is the primary benefit that results from ?  What does this characteristic do or allow you to experience?  Please carefully review the list below and select the most important benefit to you persona","Now, please tell us why that is so important to you. What is the primary benefit that results from ?  What does this characteristic do or allow you to experience?  Please carefully review the list below and select the most important benefit to you persona",,,,Q310,1,1,,,1 = A stronger and better neighborhood and community,2 = Children learn more/get education they need,3 = Can spend more/better time with family/friends,4 = Meet and build better relationships and become more connected to those around me,5 = Can better make ends meet and take care of my family,6 = Have a safe place to live,7 = Better/more professional and career options and opportunities,8 = Take care of health for me and/or family,9 = Can enjoy the outdoors and nature,"10 = Can enjoy all the great amenities here (entertainment, food, culture)",11 = Provides rich variety of experiences and opportunities to grow or try new things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Q310_PIPE,Single-Punch-Item,Question to pipe in for Q310,Question to pipe in for Q310,,,,Q310_PIPE,1,1,,,1 = a stronger and better neighborhood and community,2 = children being able to learn/get more education,3 = spending more/better time with family/friends,4 = better relationships and being more connected to those around me,5 = being better able to make ends meet and take care of family,6 = a safe place to live,7 = better/more job options and opportunities,8 = taking care of health,9 = being able to enjoy the outdoors and nature,10 = enjoying all the great amenities here,11 = the rich variety of experiences and opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Q315,Single-Punch-Item,Now please carefully review the list below and select the most important feeling to you personally that results from  that comes from .,Now please carefully review the list below and select the most important feeling to you personally that results from  that comes from .,,,,Q315,1,1,,,1 = Feel healthier /  Live a healthier life,2 = My family can stay / Don't have to move,3 = Feels like a good place to raise a family,4 = Can pursue my personal dreams,"5 = Feel wanted, needed, and included",6 = Feel happy with life,7 = Feel less stress and worry,8 = Makes things better for our children,9 = Feel better about myself overall,10 = Enjoy a higher quality of life,11 = Feel financially more secure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Q315_PIPE,Single-Punch-Item,Question to pipe into Q315,Question to pipe into Q315,,,,Q315_PIPE,1,1,,,1 = feel healthier /  live a healthier life,2 = your family can stay /doesn't have to move,3 = feel like it is a good place to live and raise a family,4 = can pursue your personal dreams,"5 = feel wanted, needed, and included",6 = feel happy with life,7 = feel less stress and worry,8 = feel like things are better for our children,9 = feel better about yourself overall,10 = enjoy a higher quality of life,11 = feel financially more secure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Q320,Single-Punch-Item,"Now, when you , that comes from the benefit of   that comes from , what does that ultimately give you a sense of?    Please carefully review the list below and select the one most important to you personally.","Now, when you , that comes from the benefit of   that comes from , what does that ultimately give you a sense of?    Please carefully review the list below and select the one most important to you personally.",,,,Q320,1,1,,,1 = Sense of financial security,2 = Sense of personal accomplishment/fulfillment,3 = Sense of love for family,4 = Sense of belonging/I have a place here,5 = Sense of personal safety and security,6 = Sense of peace of mind,7 = Sense of personal enjoyment,8 = Sense of self-esteem/dignity,9 = Sense of pride,10 = Sense of freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Q405_1,Multi-Punch-Item,High cost of living,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,High cost of living,Q405,1,1,1,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Q405_2,Multi-Punch-Item,Lack of affordable housing/housing shortage/high cost of housing,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Lack of affordable housing/housing shortage/high cost of housing,Q405,1,1,2,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Q405_3,Multi-Punch-Item,Poor quality of K-12 education for our children,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Poor quality of K-12 education for our children,Q405,1,1,3,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Q405_4,Multi-Punch-Item,Traffic/congestion/it's hard to get around,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Traffic/congestion/it's hard to get around,Q405,1,1,4,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Q405_5,Multi-Punch-Item,Lack of public transportation,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Lack of public transportation,Q405,1,1,5,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Q405_6,Multi-Punch-Item,Increased crime/neighborhoods are less safe,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Increased crime/neighborhoods are less safe,Q405,1,1,6,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Q405_7,Multi-Punch-Item,Homelessness,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Homelessness,Q405,1,1,7,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Q405_8,Multi-Punch-Item,Few/low paying jobs/economic opportunities,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Few/low paying jobs/economic opportunities,Q405,1,1,8,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Q405_9,Multi-Punch-Item,Too much growth/Not being managed well,"Now, please think about the things you don't like about living here. Thinking specifically about Nashville and where you live, what has the most significant negative impact on your quality of life. What do you dislike the most about living and working her",,,Too much growth/Not being managed well,Q405,1,1,9,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
